Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто,Адреса проживання,Телефон,Email
Жученко,Віра,Артемівна,female,1994-05-14,Локсмайстер,хутір Оріхів,"площа Симфонічна, буд. 75 кв. 109, Біляївка, 55314",+380 41 855-38-30,liubov83@example.net
Носенко,Любов,Василівна,female,1956-10-04,Правник,місто Кременець,"набережна Віктора Скаржинського узвіз, буд. 876 кв. 5, Горішні Плавні, 81598",045 087 66 37,adafesenko@example.com
Давимука,Дан,Павлович,male,1989-08-02,Географ,селище Кривий Ріг,"провулок Дачний, буд. 81, Докучаєвськ, 66888",018 613-18-92,ddzyndra@example.com
Лукаш,Христина,Артемівна,female,1993-04-02,Диригент,селище Балаклія,"провулок Лиманчик 2-й Лінія 4-та, буд. 50 кв. 187, Сорокине, 11422",+380 89 779 90 49,arsenzaichenko@example.net
Сагаль,Олена,Євгенівна,female,1990-02-20,Фермер,місто Полонне,"узвіз Марсельська, буд. 06, Щастя, 29951",+380 26 518-11-26,ieremenkoihor@example.org
Балабан,Дарина,Максимівна,female,1994-09-05,Сценарист,хутір Берислав,"провулок Виноградна, буд. 7 кв. 2, Трускавець, 10334",082 255-26-21,lsvyrydenko@example.org
Шевченко,Пріска,Олександрівна,female,1943-05-28,Мінералог,село Севастополь,"вулиця Гіацинтовий, буд. 33 кв. 197, Городенка, 69114",627 78 59,arkadii31@example.org
Михалюк,Олена,Василівна,female,2005-01-05,Ді-джей,село Марганець,"вулиця Хаджибейський 2-й, буд. 76, Хуст, 53229",+380 93 620-40-71,hlib30@example.net
Уманець,Демʼян,Олексійович,male,1946-06-10,Музикознавець,село Козятин,"парк Байкал тупик, буд. 088 кв. 601, Токмак, 38550",092 345-72-37,shyiandemian@example.com
Петрик,Христина,Володимирівна,female,1988-10-24,Пілот,місто Герца,"шосе Італійський, буд. 7 кв. 88, Бахчисарай, 30446",+380 97 496-07-30,edeineka@example.net
Шило,Ірена,Павлівна,female,2004-12-15,Різноробочий,місто Яремче,"набережна Цебриківська, буд. 2 кв. 1, Олевськ, 17637",809-79-75,xkomar@example.com
Шутько,Василина,Романівна,female,1963-10-31,Клавішник,село Арциз,"набережна Князівський, буд. 01, Новоселиця, 61125",+380 00 790-39-25,ksemenchenko@example.org
Вовк,Вʼячеслав,Олександрович,male,1940-05-31,Штукатур,хутір Винники,"провулок Кільцева, буд. 709 кв. 098, Ладижин, 42686",164 15 33,viaremko@example.net
Засуха,Демʼян,Володимирович,male,1957-07-18,Гінеколог,хутір Шаргород,"шосе Бандурний, буд. 111, Знам'янка, 31046",+380 90 401-59-71,lpetrenko@example.org
Парасюк,Костянтин,Андрійович,male,1973-12-16,Бібліограф,хутір Фастів,"шосе Черешнева, буд. 464, Березівка, 35535",020 580 36 81,kyrylenkoerika@example.org
Медведенко,Вадим,Сергійович,male,1959-05-21,Бухгалтер,село Тростянець,"шосе Сєрогодського, буд. 0, Керч, 18826",+380 71 505-68-03,prokhirverhun@example.net
Смик,Лесь,Павлович,male,1995-03-08,Ботанік,село Новодністровськ,"площа Біляївська, буд. 631, Балта, 93971",+380 74 667-36-89,iryna19@example.org
Фартушняк,Симон,Сергійович,male,2005-05-21,Художник,селище Харків,"узвіз Східчастий, буд. 0, Суходільськ, 50823",093 406 63 63,xtsushko@example.com
Вітрук,Валентин,Владиславович,male,1962-10-07,Єгер,хутір Отаманівка,"узвіз Отонівський, буд. 66 кв. 5, Вінниця, 22562",+380 (94) 948-35-05,borys33@example.org
Коваленко,Устим,Петрович,male,1979-03-19,Різноробочий,хутір Коростишів,"шосе Дмитра Іванова, буд. 49, Кілія, 67835",436-05-38,lemeshkoiakiv@example.org
Макаренко,Марта,Владиславівна,female,1954-10-14,Музикант,село Ходорів,"сквер Романтичний, буд. 94 кв. 1, Тараща, 21116",+380 11 579-02-51,bezborodkokhoma@example.net
Дрозд,Еріка,Владиславівна,female,1977-03-12,Архітектор,місто Сніжне,"вулиця Віталія Блажка, буд. 514, Прилуки, 65222",012 475-21-74,pholoborodko@example.org
Малишко,Тереза,Дмитрівна,female,1962-10-20,Актор,місто Яремче,"вулиця Караїмська, буд. 865, Тиврів, 08272",866 61 34,ihor75@example.org
Андрійович,Кирило,Максимович,male,1983-12-27,Перекладач,селище Сторожинець,"шосе Ярмарковий, буд. 78 кв. 22, Керч, 10267",+380 26 008 57 98,zakharenkoadam@example.com
Венгринович,Хома,Дмитрович,male,1938-09-20,М'ясник,хутір Новодружеськ,"парк Академіка Сахарова, буд. 69 кв. 057, Березівка, 60322",+380 (38) 921-87-64,gkorsun@example.org
Мазепа,Ілля,Максимович,male,2001-12-20,Режисер,селище Вільнянськ,"шосе Дев’ята, буд. 599, Лутугине, 55809",+380 23 577 71 91,viktoriia21@example.com
Чалий,Марія,Максимівна,female,1989-05-07,Модельєр,хутір Снятин,"парк Преображенська, буд. 1, Зимогір'я, 16368",+380 (83) 339-10-53,aaronmamchur@example.org
Харченко,Ярослава,Миколаївна,female,1996-03-20,Бізнесмен,селище Остер,"проспект Баштанна, буд. 7, Мена, 72544",812 23 07,udemianchuk@example.net
Гузій,Богуслава,Денисівна,female,1988-05-21,Актор,селище Залізне,"узвіз Жолкова Бориса, буд. 250 кв. 2, Нова Каховка, 64889",660 15 88,vitaliiiurchuk@example.net
Онищенко,Мартин,Ігорович,male,1995-09-05,Фрілансер,селище Кам'янка (Черкаська область),"проспект Кінбурнський, буд. 011 кв. 56, Світлодарськ, 84647",+380 31 430-48-64,dshtokalo@example.com
Бабʼяк,Оксана,Денисівна,female,1954-01-23,Водій,селище Калинівка,"проспект Миколи Куліша, буд. 69, Перемишляни, 46983",031 632-08-31,fvenhrynovych@example.com
Рева,Валентина,Миколаївна,female,2002-06-25,Візажист,село Сквира,"проспект Баркасний, буд. 62, Старокостянтинів, 82721",+380 (83) 000-40-27,ovasylevych@example.com
Товстуха,Роксолана,Павлівна,female,1940-11-18,Режисер,селище Бережани,"сквер Аркаса Миколи, буд. 684, Василівка, 50066",520 78 75,ctytarenko@example.com
Ільєнко,Веніямин,Вікторович,male,1965-02-27,Геофізик,село Погребище,"провулок Чорноморський 10-й, буд. 9 кв. 792, Дунаївці, 56469",080 772 81 78,zvakarchuk@example.org
Бевз,Святослава,Іванівна,female,1953-10-14,Медик,хутір Монастирище,"парк Марка Крейна, буд. 151, Радивилів, 10394",009 683-28-54,artymovychievhen@example.org
Петрик,Данна,Іванівна,female,1967-05-20,Патологоанатом,село Очаків,"узвіз Різницький, буд. 5 кв. 748, Лутугине, 34896",096-16-94,ruslanzhalilo@example.com
Атаманчук,Панас,Іванович,male,1940-08-05,Мікробіолог,село Свалява,"сквер Максима Чайки, буд. 223, Тетіїв, 91850",+380 (53) 841-07-11,opanasenkoeduard@example.com
Піддубний,Володимир,Васильович,male,1999-05-04,Електрослюсар,селище Полонне,"узвіз Моторна, буд. 547 кв. 58, Василівка, 39435",627 99 56,aiaremchuk@example.com
Балабан,Болеслав,Євгенович,male,1982-07-22,Дерун,село Здолбунів,"вулиця Шкільний, буд. 1, Городище, 43794",561-53-26,vkopytko@example.org
Олійник,Амалія,Василівна,female,1946-09-22,Сценарист,місто Армянськ,"набережна Гайова, буд. 35, Львів, 36111",308-79-61,iaremkivliza@example.org
Лазаренко,Орина,Романівна,female,1977-10-27,Менеджер,місто Волноваха,"узвіз Павла Вірського, буд. 0, Помічна, 08139",+380 (51) 260-68-40,riabetseduard@example.org
Бараник,Камілла,Андріївна,female,1969-12-24,Фотограф,хутір Гайворон,"провулок Пшенична, буд. 687, Севастополь, 95633",025 514 00 23,gperepelytsia@example.org
